id;meal_name;meal_desc;user_id
1;mobile Fish;Home Loan Account Table Computer;1
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;1
3;Officer;methodology Albania;1
4;intangible;enable Gorgeous Frozen Pants;1
5;Licensed Savings Account;Cambridgeshire Mississippi;1
6;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;1
7;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2
8;hardware Costa Rica Mayotte;Industrial;2
9;Views e-enable Communications;National Awesome sky blue;1
10;software scale interactive;Louisiana Specialist Home Loan Account;1
