id;time;difficulty;rating;steps;creation_date;description;name;score;user_id
1;37454;79654;95071;application;2019-12-02T04:21:03;Table Computer;Trace;33370;2
2;14286;70807;65088;Tasty Metal Bacon;2019-12-01T20:11:37;Electronics;Soap methodology Albania;43194;1
3;29122;52477;61185;Steel zero administration;2019-12-02T09:55:33;Common;Savings Account syndicate Planner;46676;1
4;85994;60754;68030;Centers;2019-12-02T18:24:01;Usability South Dakota envisioneer;Intelligent;68423;1
5;44015;68326;12203;Buckinghamshire Games;2019-12-01T20:53:42;Digitized invoice;convergence;20794;2
6;56770;18485;3131;synthesizing Views e-enable;2019-12-01T20:28:44;capacitor archive;sky blue Tasty Plastic Pizza;38867;2
7;27134;53969;82873;compelling mission-critical;2019-12-02T05:41:38;Plastic;Car Industrial deliverables;39488;1
8;29348;552;1407;magenta monitor 1080p;2019-12-02T04:10:32;Identity;Frozen IB;62329;1
9;33089;9541;6355;moratorium moratorium;2019-12-02T01:12:29;withdrawal COM;embrace Developer;84891;2
10;72172;56127;23598;Networked Sleek Metal Table Small;2019-12-02T08:10:28;red;withdrawal knowledge base Buckinghamshire;90756;1
